delta,real_s12,img_s12,s22
-2.233000e+001,-1.117050e-002,-5.002462e-004,1.250616e-004
-2.232000e+001,-1.117548e-002,-5.006936e-004,1.251734e-004
-2.231000e+001,-1.118047e-002,-5.011415e-004,1.252854e-004
-2.230000e+001,-1.118546e-002,-5.015900e-004,1.253975e-004
-2.229000e+001,-1.119045e-002,-5.020392e-004,1.255098e-004
-2.228000e+001,-1.119545e-002,-5.024889e-004,1.256222e-004
-2.227000e+001,-1.120046e-002,-5.029393e-004,1.257348e-004
-2.226000e+001,-1.120547e-002,-5.033902e-004,1.258476e-004
-2.225000e+001,-1.121048e-002,-5.038418e-004,1.259605e-004
-2.224000e+001,-1.121550e-002,-5.042940e-004,1.260735e-004
-2.223000e+001,-1.122052e-002,-5.047467e-004,1.261867e-004
-2.222000e+001,-1.122555e-002,-5.052001e-004,1.263000e-004
-2.221000e+001,-1.123058e-002,-5.056541e-004,1.264135e-004
-2.220000e+001,-1.123561e-002,-5.061087e-004,1.265272e-004
-2.219000e+001,-1.124065e-002,-5.065640e-004,1.266410e-004
-2.218000e+001,-1.124570e-002,-5.070198e-004,1.267549e-004
-2.217000e+001,-1.125075e-002,-5.074762e-004,1.268691e-004
-2.216000e+001,-1.125580e-002,-5.079333e-004,1.269833e-004
-2.215000e+001,-1.126086e-002,-5.083910e-004,1.270978e-004
-2.214000e+001,-1.126592e-002,-5.088493e-004,1.272123e-004
-2.213000e+001,-1.127099e-002,-5.093082e-004,1.273271e-004
-2.212000e+001,-1.127606e-002,-5.097678e-004,1.274419e-004
-2.211000e+001,-1.128114e-002,-5.102279e-004,1.275570e-004
-2.210000e+001,-1.128622e-002,-5.106887e-004,1.276722e-004
-2.209000e+001,-1.129131e-002,-5.111501e-004,1.277875e-004
-2.208000e+001,-1.129640e-002,-5.116122e-004,1.279030e-004
-2.207000e+001,-1.130149e-002,-5.120748e-004,1.280187e-004
-2.206000e+001,-1.130659e-002,-5.125381e-004,1.281345e-004
