tempo,real_s12,img_s12,s22
3.360000e-007,4.777979e-002,-9.448925e-003,2.383605e-003
3.370000e-007,4.777052e-002,-9.457526e-003,2.382877e-003
3.380000e-007,4.776221e-002,-9.466774e-003,2.382253e-003
3.390000e-007,4.775490e-002,-9.476568e-003,2.381736e-003
3.400000e-007,4.774862e-002,-9.486807e-003,2.381326e-003
3.410000e-007,4.774338e-002,-9.497391e-003,2.381023e-003
3.420000e-007,4.773919e-002,-9.508217e-003,2.380826e-003
3.430000e-007,4.773605e-002,-9.519186e-003,2.380732e-003
3.440000e-007,4.773395e-002,-9.530202e-003,2.380740e-003
3.450000e-007,4.773288e-002,-9.541169e-003,2.380845e-003
3.460000e-007,4.773280e-002,-9.551998e-003,2.381044e-003
3.470000e-007,4.773368e-002,-9.562601e-003,2.381331e-003
3.480000e-007,4.773549e-002,-9.572897e-003,2.381701e-003
3.490000e-007,4.773817e-002,-9.582811e-003,2.382148e-003
3.500000e-007,4.774168e-002,-9.592271e-003,2.382665e-003
3.510000e-007,4.774595e-002,-9.601213e-003,2.383247e-003
3.520000e-007,4.775093e-002,-9.609580e-003,2.383885e-003
3.530000e-007,4.775654e-002,-9.617322e-003,2.384572e-003
3.540000e-007,4.776272e-002,-9.624394e-003,2.385301e-003
3.550000e-007,4.776940e-002,-9.630761e-003,2.386065e-003
3.560000e-007,4.777650e-002,-9.636391e-003,2.386855e-003
3.570000e-007,4.778395e-002,-9.641265e-003,2.387665e-003
3.580000e-007,4.779168e-002,-9.645366e-003,2.388486e-003
3.590000e-007,4.779960e-002,-9.648686e-003,2.389312e-003
3.600000e-007,4.780765e-002,-9.651224e-003,2.390135e-003
3.610000e-007,4.781576e-002,-9.652986e-003,2.390948e-003
3.620000e-007,4.782384e-002,-9.653984e-003,2.391745e-003
3.630000e-007,4.783185e-002,-9.654235e-003,2.392520e-003
3.640000e-007,4.783971e-002,-9.653763e-003,2.393266e-003
3.650000e-007,4.784735e-002,-9.652596e-003,2.393980e-003
3.660000e-007,4.785473e-002,-9.650769e-003,2.394655e-003
3.670000e-007,4.786180e-002,-9.648319e-003,2.395288e-003
3.680000e-007,4.786849e-002,-9.645289e-003,2.395874e-003
3.690000e-007,4.787477e-002,-9.641723e-003,2.396410e-003
3.700000e-007,4.788060e-002,-9.637671e-003,2.396894e-003
3.710000e-007,4.788595e-002,-9.633183e-003,2.397323e-003
3.720000e-007,4.789079e-002,-9.628311e-003,2.397695e-003
3.730000e-007,4.789508e-002,-9.623111e-003,2.398010e-003
3.740000e-007,4.789883e-002,-9.617636e-003,2.398266e-003
3.750000e-007,4.790201e-002,-9.611943e-003,2.398463e-003
3.760000e-007,4.790462e-002,-9.606087e-003,2.398602e-003
3.770000e-007,4.790665e-002,-9.600124e-003,2.398684e-003
3.780000e-007,4.790811e-002,-9.594105e-003,2.398709e-003
3.790000e-007,4.790900e-002,-9.588086e-003,2.398680e-003
3.800000e-007,4.790934e-002,-9.582115e-003,2.398599e-003
3.810000e-007,4.790914e-002,-9.576242e-003,2.398468e-003
3.820000e-007,4.790843e-002,-9.570513e-003,2.398290e-003
3.830000e-007,4.790722e-002,-9.564971e-003,2.398068e-003
3.840000e-007,4.790554e-002,-9.559656e-003,2.397805e-003
3.850000e-007,4.790343e-002,-9.554605e-003,2.397506e-003
3.860000e-007,4.790091e-002,-9.549853e-003,2.397173e-003
3.870000e-007,4.789803e-002,-9.545427e-003,2.396811e-003
3.880000e-007,4.789481e-002,-9.541356e-003,2.396424e-003
3.890000e-007,4.789130e-002,-9.537660e-003,2.396016e-003
3.900000e-007,4.788754e-002,-9.534358e-003,2.395591e-003
3.910000e-007,4.788357e-002,-9.531464e-003,2.395153e-003
3.920000e-007,4.787942e-002,-9.528989e-003,2.394706e-003
3.930000e-007,4.787514e-002,-9.526939e-003,2.394256e-003
3.940000e-007,4.787077e-002,-9.525316e-003,2.393804e-003
3.950000e-007,4.786635e-002,-9.524121e-003,2.393356e-003
3.960000e-007,4.786191e-002,-9.523347e-003,2.392914e-003
3.970000e-007,4.785751e-002,-9.522988e-003,2.392483e-003
3.980000e-007,4.785316e-002,-9.523031e-003,2.392066e-003
3.990000e-007,4.784891e-002,-9.523463e-003,2.391665e-003
4.000000e-007,4.784479e-002,-9.524267e-003,2.391284e-003
4.010000e-007,4.784083e-002,-9.525424e-003,2.390925e-003
4.020000e-007,4.783705e-002,-9.526910e-003,2.390590e-003
4.030000e-007,4.783349e-002,-9.528704e-003,2.390281e-003
4.040000e-007,4.783016e-002,-9.530778e-003,2.390000e-003
4.050000e-007,4.782709e-002,-9.533106e-003,2.389749e-003
4.060000e-007,4.782429e-002,-9.535659e-003,2.389528e-003
4.070000e-007,4.782178e-002,-9.538409e-003,2.389339e-003
4.080000e-007,4.781956e-002,-9.541325e-003,2.389181e-003
4.090000e-007,4.781765e-002,-9.544378e-003,2.389056e-003
4.100000e-007,4.781605e-002,-9.547536e-003,2.388962e-003
4.110000e-007,4.781477e-002,-9.550769e-003,2.388900e-003
4.120000e-007,4.781380e-002,-9.554049e-003,2.388869e-003
4.130000e-007,4.781315e-002,-9.557344e-003,2.388869e-003
4.140000e-007,4.781279e-002,-9.560628e-003,2.388898e-003
4.150000e-007,4.781274e-002,-9.563873e-003,2.388955e-003
4.160000e-007,4.781298e-002,-9.567053e-003,2.389038e-003
4.170000e-007,4.781350e-002,-9.570143e-003,2.389147e-003
4.180000e-007,4.781428e-002,-9.573121e-003,2.389278e-003
4.190000e-007,4.781530e-002,-9.575965e-003,2.389431e-003
4.200000e-007,4.781656e-002,-9.578656e-003,2.389604e-003
4.210000e-007,4.781803e-002,-9.581177e-003,2.389793e-003
